34234.0,34247.5,34240.75,13.5,-2.59550192e-10,0.0,84184455.0,1627171466.939331,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34421.0,34461.0,34441.0,40.0,,0.0058,4889034.0,1627171466.939331,QUARTER,210924,BTC-USD-210924,Kraken Futures
35193.5,35259.0,35226.25,65.5,,0.0288,2380491.0,1627171466.939331,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34224.5,34271.5,34248.0,47.0,,0.0002,4568896.0,1627171466.939331,MONTH,210730,BTC-USD-210730,Kraken Futures
34263.0,34264.0,34263.5,1.0,,0.0,1667591907.689,1627171467.02372,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34799.0,34809.0,34804.0,10.0,,0.0158,145748224.8275,1627171467.02372,QUARTER,210924,BTC-USD-210924,FTX Futures
35653.0,35665.0,35659.0,12.0,,0.0407,105159465.3994,1627171467.02372,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
35221.1,35221.2,35221.149999999994,0.09999999999854481,,0.0292,,1627171467.466061,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34432.5,34432.6,34432.55,0.09999999999854481,,0.0062,,1627171467.466061,QUARTER,210924,BTC-USD-210924,Binance COIN-M
34220.6,34220.7,34220.649999999994,0.09999999999854481,,0.0,,1627171467.466061,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34240.0,34240.5,34240.25,0.5,-0.000251,0.0,892050600.0,1627171467.760362,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34489.0,34496.5,34492.75,7.5,,0.0074,14469000.0,1627171467.760362,QUARTER,092121,BTC-USD-092121,BitMEX
35237.5,35247.5,35242.5,10.0,,0.0293,13505500.0,1627171467.760362,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
34236.5,34253.5,34245.0,17.0,-2.59550192e-10,0.0,84243137.0,1627171482.958443,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34419.0,34463.5,34441.25,44.5,,0.0057,4889034.0,1627171482.958443,QUARTER,210924,BTC-USD-210924,Kraken Futures
35196.0,35255.5,35225.75,59.5,,0.0286,2380491.0,1627171482.958443,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34226.0,34269.0,34247.5,43.0,,0.0001,4568846.0,1627171482.958443,MONTH,210730,BTC-USD-210730,Kraken Futures
34250.0,34251.0,34250.5,1.0,,0.0,1663470478.9061,1627171483.0384471,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34789.0,34796.0,34792.5,7.0,,0.0158,145748224.8275,1627171483.0384471,QUARTER,210924,BTC-USD-210924,FTX Futures
35644.0,35655.0,35649.5,11.0,,0.0408,105159465.3994,1627171483.0384471,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
35225.1,35225.2,35225.149999999994,0.09999999999854481,,0.0294,,1627171483.440447,SEMIANNUAL,211231,BTC-USD-211231,Binance COIN-M
34443.3,34443.4,34443.350000000006,0.09999999999854481,,0.0065,,1627171483.440447,QUARTER,210924,BTC-USD-210924,Binance COIN-M
34220.4,34220.5,34220.45,0.09999999999854481,,0.0,,1627171483.440447,PERPETUAL,,BTC-USD-PERPETUAL,Binance COIN-M
34234.0,34234.5,34234.25,0.5,-0.000251,0.0,892439000.0,1627171483.739172,PERPETUAL,,BTC-USD-PERPETUAL,BitMEX
34490.5,34492.5,34491.5,2.0,,0.0075,14465600.0,1627171483.739172,QUARTER,092121,BTC-USD-092121,BitMEX
35218.5,35252.0,35235.25,33.5,,0.0292,13492200.0,1627171483.739172,SEMIANNUAL,122121,BTC-USD-122121,BitMEX
34232.5,34246.5,34239.5,14.0,-2.59550192e-10,0.0,84293884.0,1627171498.939821,PERPETUAL,,BTC-USD-PERPETUAL,Kraken Futures
34417.5,34459.0,34438.25,41.5,,0.0058,4888809.0,1627171498.939821,QUARTER,210924,BTC-USD-210924,Kraken Futures
35203.5,35252.5,35228.0,49.0,,0.0289,2380491.0,1627171498.939821,SEMIANNUAL,211231,BTC-USD-211231,Kraken Futures
34227.0,34264.0,34245.5,37.0,,0.0002,4568846.0,1627171498.939821,MONTH,210730,BTC-USD-210730,Kraken Futures
34254.0,34255.0,34254.5,1.0,,0.0,1663470478.9061,1627171499.018219,PERPETUAL,,BTC-USD-PERPETUAL,FTX Futures
34791.0,34800.0,34795.5,9.0,,0.0158,145748224.8275,1627171499.018219,QUARTER,210924,BTC-USD-210924,FTX Futures
35641.0,35655.0,35648.0,14.0,,0.0407,105159465.3994,1627171499.018219,SEMIANNUAL,211231,BTC-USD-211231,FTX Futures
