price,spread,24h_volume,timestamp,currency,exchange
41474.5,1.0,,1632853403.4068358,BTC-USD,FTX
41485.0,4.0,,1632853466.366834,BTC-USD,FTX
41488.5,1.0,,1632853529.1504717,BTC-USD,FTX
41480.5,1.0,,1632853592.5467725,BTC-USD,FTX
41496.5,1.0,,1632853655.3864777,BTC-USD,FTX
41500.5,1.0,,1632853718.2509556,BTC-USD,FTX
41487.5,1.0,,1632853783.2984798,BTC-USD,FTX
41492.5,1.0,,1632853846.148851,BTC-USD,FTX
41501.0,4.0,,1632853909.7784784,BTC-USD,FTX
41553.5,1.0,,1632853972.529123,BTC-USD,FTX
41583.5,1.0,,1632854036.7915738,BTC-USD,FTX
41579.5,1.0,,1632854099.581781,BTC-USD,FTX
41563.5,1.0,,1632854162.423757,BTC-USD,FTX
41553.5,1.0,,1632854225.2748766,BTC-USD,FTX
41620.5,1.0,,1632854288.198462,BTC-USD,FTX
41585.5,1.0,,1632854351.811659,BTC-USD,FTX
41579.5,7.0,,1632854417.1344736,BTC-USD,FTX
41582.5,1.0,,1632854483.702855,BTC-USD,FTX
41572.5,1.0,,1632854547.1706145,BTC-USD,FTX
41583.5,1.0,,1632854610.006479,BTC-USD,FTX
41609.5,3.0,,1632854674.7424414,BTC-USD,FTX
41633.5,1.0,,1632854737.467079,BTC-USD,FTX
41707.5,1.0,,1632854802.3288455,BTC-USD,FTX
41691.5,1.0,,1632854868.1384797,BTC-USD,FTX
41635.5,1.0,,1632854931.7034042,BTC-USD,FTX
41638.0,2.0,,1632854994.4932597,BTC-USD,FTX
41579.5,1.0,,1632855057.4184968,BTC-USD,FTX
41606.5,1.0,,1632855121.605936,BTC-USD,FTX
41603.5,1.0,,1632855184.802478,BTC-USD,FTX
41587.5,1.0,,1632855247.5064986,BTC-USD,FTX
41611.5,1.0,,1632855313.3744986,BTC-USD,FTX
41613.5,1.0,,1632855376.145675,BTC-USD,FTX
41619.5,1.0,,1632855438.938833,BTC-USD,FTX
41598.5,1.0,,1632855504.07501,BTC-USD,FTX
41573.5,1.0,,1632855566.7465367,BTC-USD,FTX
41568.5,1.0,,1632855629.478873,BTC-USD,FTX
41612.5,1.0,,1632855692.1504705,BTC-USD,FTX
41606.5,1.0,,1632855758.41365,BTC-USD,FTX
41640.5,1.0,,1632855821.571844,BTC-USD,FTX
41637.5,1.0,,1632855884.2453246,BTC-USD,FTX
41613.5,1.0,,1632855946.954792,BTC-USD,FTX
41637.5,1.0,,1632856013.369491,BTC-USD,FTX
41611.5,1.0,,1632856076.4962156,BTC-USD,FTX
41663.5,7.0,,1632856139.2308874,BTC-USD,FTX
41653.5,1.0,,1632856204.2046807,BTC-USD,FTX
41653.5,1.0,,1632856267.5957172,BTC-USD,FTX
41684.5,1.0,,1632856330.938559,BTC-USD,FTX
41703.5,1.0,,1632856393.7824783,BTC-USD,FTX
41714.5,1.0,,1632856456.611506,BTC-USD,FTX
41694.5,1.0,,1632856520.077176,BTC-USD,FTX
41741.5,1.0,,1632856583.3196003,BTC-USD,FTX
41753.5,1.0,,1632856645.9970615,BTC-USD,FTX
41718.5,1.0,,1632856708.715722,BTC-USD,FTX
41706.5,7.0,,1632856771.9318795,BTC-USD,FTX
41670.5,1.0,,1632856835.2304718,BTC-USD,FTX
41659.5,1.0,,1632856898.0144656,BTC-USD,FTX
41643.5,1.0,,1632856960.8424823,BTC-USD,FTX
41638.5,1.0,,1632857023.6718552,BTC-USD,FTX
41667.5,1.0,,1632857086.3944843,BTC-USD,FTX
41649.5,1.0,,1632857149.628018,BTC-USD,FTX
41656.5,1.0,,1632857213.370472,BTC-USD,FTX
41638.5,1.0,,1632857276.202495,BTC-USD,FTX
41662.5,1.0,,1632857338.989678,BTC-USD,FTX
41667.5,1.0,,1632857401.8829336,BTC-USD,FTX
41687.0,6.0,,1632857464.7160532,BTC-USD,FTX
41661.5,1.0,,1632857527.9548686,BTC-USD,FTX
41666.5,1.0,,1632857590.7424724,BTC-USD,FTX
